,denomination,siren,forme_juridique,code_postal,num_dept,region,date_de_publication,capital,secteur_d_activite,Population,Rev_Moy_Com,Année
6949,YISA,852477397,SAS,13001,13.0,Provence-Alpes-Côte d'Azur,2019-07-20,4000.0,Patisserie,143097,24096.792452830192,2019
7579,Les-Chatons-Gourmets,841789498,SAS,13007,13.0,Provence-Alpes-Côte d'Azur,2018-10-08,100.0,Patisserie,12771,24550.0,2018
7898,BRICOLEURS-LABO,882871692,SAS,13007,13.0,Provence-Alpes-Côte d'Azur,2020-04-18,1000.0,Patisserie,12771,24550.0,2020
8262,EXOUHSIA,852785369,SARL_AU,91200,91.0,Ile-de-France,2019-08-04,1000.0,Patisserie,10559,22420.0,2019
8369,LA-FROMAGERIE-D'AMANDE,889979274,SARL_AU,91200,91.0,Ile-de-France,2020-12-16,500.0,Fabrication de lait liquide et de produits frais,10559,22420.0,2020
9293,DELICES-D'ORIENT,842981011,SAS_AU,13002,13.0,Provence-Alpes-Côte d'Azur,2018-10-23,200.0,Patisserie,20860,26015.0,2018
9589,UNE-NOTE-GOURMANDE,891491896,SARL_AU,13002,13.0,Provence-Alpes-Côte d'Azur,2020-12-16,1000.0,Patisserie,20860,26015.0,2020
9874,BILTONG-POWER,839715141,SAS,83130,83.0,Provence-Alpes-Côte d'Azur,2018-05-26,10000.0,"Fabrication de cacao, chocolat et de produits de confiserie",11496,22022.0,2018
10976,TERRE-DE-MARS,839713039,SARL,13014,13.0,Provence-Alpes-Côte d'Azur,2018-06-30,8000.0,"Culture de legumes, de melons, de racines et de tubercules",13520,19612.0,2018
12363,HEALTH-FOOD-INVEST,841434921,SAS_AU,13015,13.0,Provence-Alpes-Côte d'Azur,2018-08-03,1000.0,Transformation et conservation de fruits,14784,29168.0,2018
12468,AN-NAM,847667474,SAS,13015,13.0,Provence-Alpes-Côte d'Azur,2019-01-27,1000.0,Patisserie,14784,29168.0,2019
12825,FRENCHI-MOCHI,881208631,SAS,13015,13.0,Provence-Alpes-Côte d'Azur,2020-02-07,100.0,Patisserie,14784,29168.0,2020
13931,TORREFACTION-PROVENCE,841894447,SARL,13005,13.0,Provence-Alpes-Côte d'Azur,2018-10-08,10100.0,Transformation du the et du cafe,47208,21324.11764705882,2018
14166,HKN-Livraison,884926148,SAS_AU,13005,13.0,Provence-Alpes-Côte d'Azur,2020-07-11,500.0,"Comm. de gros (comm. interent.) prod. lait., ?ufs, huiles, mat. grasses comest.",47208,21324.11764705882,2020
14273,NOXI-FRUITS,852494962,SARL,77390,77.0,Ile-de-France,2019-07-22,5000.0,Transformation et conservation de fruits,22836,22262.5,2019
14429,Gourmandises-&-Compagnie,884510025,SARL_AU,39300,39.0,Bourgogne-Franche-Comté,2020-06-30,6000.0,Patisserie,17320,19911.428571428565,2020
14541,BLISS-Patisseries-&-Cie.,834571044,SAS_AU,78490,78.0,Ile-de-France,2018-01-16,100.0,Patisserie,31013,25719.16666666667,2018
14992,IL-GELATO-DI-CORRADO,879131282,SARL_AU,59650,59.0,Nord-Pas-de-Calais-Picardie,2019-12-01,1000.0,Fabrication de glaces et sorbets,40885,18196.11111111111,2019
15427,VIZEAS,889510491,SAS,69290,69.0,Auvergne-Rhône-Alpes,2020-12-16,5000.0,Patisserie,46510,20562.105263157893,2020
15514,S.A.R.L.-LE-BOIS-HERMES,841935075,SARL,35360,35.0,Bretagne,2018-10-08,5000.0,"Comm. de gros (comm. interent.) prod. lait., ?ufs, huiles, mat. grasses comest.",18267,22004.28571428572,2018
17011,13OXYGENE,835308107,SARL_AU,29233,29.0,Bretagne,2018-02-17,1000.0,"Culture de legumes, de melons, de racines et de tubercules",12188,21284.0,2018
17016,LIGNE-VERTE,845397801,SARL,29233,29.0,Bretagne,2019-01-27,2000.0,"Culture de legumes, de melons, de racines et de tubercules",12188,21284.0,2019
18297,LA-SALAMANDRE-LE-FOURNIL-BIO,887831394,SAS,62250,62.0,Nord-Pas-de-Calais-Picardie,2020-08-23,640.0,Fabrication industrielle de pain et de patisserie fraiche,10544,18830.0,2020
18620,L'ATELIER-203,850964271,SAS,76410,76.0,Normandie,2019-05-31,2000.0,Patisserie,10730,18012.5,2019
18931,SOREBOU,841112659,SAS_AU,92032,92.0,Ile-de-France,2018-07-21,10000.0,Restauration collective sous contrat,25342,26325.454545454544,2018
19517,NAIA,878088475,SARL,64430,64.0,Aquitaine-Limousin-Poitou-Charentes,2019-10-19,5000.0,"Fabrication de cacao, chocolat et de produits de confiserie",10515,20662.0,2019
20158,LE-PETIT-PATISSIER-DE-BOURBON,837695436,SAS_AU,97420,974.0,La Réunion,2019-11-09,250000.0,Fabrication industrielle de pain et de patisserie fraiche,23718,15814.285714285714,2019
20373,PASSION-GOURMANDE,877705186,SARL,97418,974.0,La Réunion,2019-10-12,3000.0,Patisserie,33234,18420.0,2019
20388,GRONDIN-MARAICHAGE,880354659,SARL,97418,974.0,La Réunion,2020-03-08,7500.0,"Culture de legumes, de melons, de racines et de tubercules",33234,18420.0,2020
20458,SAS-FAMILLE-LEG,880744263,SAS,57160,57.0,Alsace-Champagne-Ardenne-Lorraine,2020-02-28,50000.0,Elevage d'autres animaux,13070,18276.666666666668,2020
20588,LA-REMINISCENCE-NOTRE-HERITAGE-DU-CAFE,879956514,SARL_AU,97213,972.0,Martinique,2019-12-27,1000.0,Transformation du the et du cafe,40581,19239.0,2019
20660,ATELIER-ELENI,882645773,SARL,57480,57.0,Alsace-Champagne-Ardenne-Lorraine,2020-04-25,1000.0,Patisserie,21749,21443.75,2020
